vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
陕KJ618K_0,1,b'2021-08-24 11:47:24',0,18.63556981086731,16.41666054725647,1.8573246,6.295159,4.373805,4.498431,1.3731385,1.5666599,5.4499803,4.06668,4.06668,1.26666
宁A7E807_0,1,b'2021-08-24 11:48:18',0,17.375385761260986,17.083259224891663,1.6878014,5.7960157,4.065655,4.1643295,1.3351026,1.65,5.66664,4.1666403,4.35,1.24998
宁AQ518Q_0,1,b'2021-08-24 11:48:58',0,17.782312631607056,17.30004072189331,1.7120552,5.9897285,4.1318793,4.2392135,1.3658897,1.66668,5.83332,4.00002,4.51668,1.28334
宁A6AJ81_0,11,b'2021-08-24 11:51:00',1,21.984549164772034,23.34995985031128,2.175118,7.4149175,5.200847,5.3426414,1.6087149,2.16666,8.83332,5.4499803,5.28336,1.61664
浙A56A98_1,12,b'2021-08-24 11:56:24',0,25.135481357574463,26.549999713897705,2.4957623,8.269581,6.0194187,6.1974916,1.8825643,2.36664,7.5333605,8.650021,6.15,1.84998
陕EE5075_1,16,b'2021-08-24 12:02:37',0,21.553874015808105,26.099939346313477,2.2526364,7.2105255,5.1632257,5.2819023,1.6749358,2.76666,9.23334,6.81666,5.66664,1.61664
陕KF1115_1,16,b'2021-08-24 12:11:45',0,25.511478781700134,24.43332016468048,2.506657,8.343873,6.126676,6.294584,1.8892175,2.3999999,7.8666596,6.11664,6.1666803,1.8833401
陕KC5147_1,16,b'2021-08-24 12:13:42',0,27.409629821777344,28.983360528945923,2.7342985,8.662384,6.606107,6.811536,2.069288,2.46666,8.08332,9.7833605,6.7666802,1.8833401
宁A2AY28_0,11,b'2021-08-24 12:15:23',0,18.34374725818634,16.81674063205719,1.8844651,6.2071958,4.3549733,4.4922585,1.4042484,1.8333601,5.33334,3.98334,4.36668,1.30002
宁AA922V_0,1,b'2021-08-24 12:22:30',1,18.36681067943573,17.066699266433716,1.8292252,6.2174597,4.3577986,4.5076203,1.3625768,1.73334,5.56668,4.2,4.33332,1.2333599
宁AQ060P_0,11,b'2021-08-24 12:31:14',0,28.33366870880127,43.31676006317139,2.7961082,8.534377,6.541796,6.758751,2.161215,2.56668,8.73336,24.18336,6.10002,1.73334
宁A73621_0,1,b'2021-08-24 12:36:08',0,17.455519437789917,16.399980783462524,1.7054204,5.8561296,4.1542554,4.2736173,1.3613094,1.66668,5.43336,4.01664,4.03332,1.24998
宁A67H22_0,1,b'2021-08-24 12:39:02',0,17.371103167533875,17.13335931301117,1.7201061,5.79468,4.158268,4.2774744,1.3315876,1.61664,5.85,4.08336,4.30002,1.28334
宁CE7667_1,16,b'2021-08-24 12:43:40',0,21.694822311401367,20.28342068195343,2.2626462,7.2858005,5.2213087,5.370663,1.6963028,2.05002,6.55002,4.96668,5.2666802,1.45002
宁BW5166_0,1,b'2021-08-24 12:48:04',0,17.379791736602783,16.73327922821045,1.6757295,5.7332487,4.0818257,4.2097797,1.3543644,1.66668,5.7666597,4.01664,4.03332,1.24998
苏GE7713_1,16,b'2021-08-24 13:00:46',0,25.88027536869049,23.783340454101562,2.5422323,8.31873,6.191302,6.3596983,1.9292853,2.51664,7.8166804,5.85,5.78334,1.81668
晋LJ8085_1,16,b'2021-08-24 13:05:13',0,23.91599178314209,24.11664068698883,2.3822942,7.821392,5.7164536,5.8647995,1.7999778,2.44998,7.84998,5.55,6.38334,1.8833401
宁AV109T_0,1,b'2021-08-24 13:09:44',1,18.41485619544983,31.783379316329956,1.8468504,6.0799403,4.3380117,4.4564223,1.3727953,1.68336,6.25002,18.283321,4.33332,1.2333599
宁A1P430_0,1,b'2021-08-24 13:12:54',0,16.83136224746704,16.749960780143738,1.62287,5.5012097,3.9496331,4.0403743,1.3130047,1.63332,5.55,4.1666403,4.11666,1.28334
陕K3016N_0,1,b'2021-08-24 13:12:57',1,18.32722306251526,19.383299946784973,1.8372818,6.0553284,4.322726,4.4401817,1.3664297,1.99998,6.4166403,4.81668,4.71666,1.43334
苏A0T7B9_0,11,b'2021-08-24 13:13:51',0,23.432514667510986,21.266700625419617,2.2799735,7.7065425,5.588799,5.740605,1.7191211,2.01666,7.01664,5.1166797,5.43336,1.68336
宁ALC000_0,1,b'2021-08-24 13:14:06',1,18.256022930145264,16.633379459381104,1.8186383,6.01367,4.2937126,4.410841,1.356242,1.5833399,5.73336,4.03332,4.06668,1.2166799
黑AU2343_1,16,b'2021-08-24 13:20:21',1,25.77837824821472,24.60006058216095,2.5652652,8.335365,6.312579,6.492353,1.9525717,2.25,8.28336,5.95002,6.28332,1.8333601
宁AB5131_1,14,b'2021-08-24 13:23:25',0,28.381168842315674,26.266620755195618,2.9116683,8.591815,6.648778,6.860208,2.218288,2.74998,8.73336,6.4500003,6.4166403,1.9166399
宁AC6570_1,16,b'2021-08-24 13:25:45',0,27.938565015792847,27.116639614105225,2.8221424,8.633828,6.731017,6.9381924,2.1658077,2.6833198,8.849999,6.51666,7.01664,2.05002
冀DQ2603_1,16,b'2021-08-24 13:26:58',1,25.913860201835632,24.700080156326294,2.568521,8.392902,6.3189945,6.489704,1.9368218,2.4333599,8.26668,5.83332,6.3333597,1.8333601
豫EF3956_1,16,b'2021-08-24 13:36:04',0,25.736682415008545,28.016640543937683,2.5351093,8.363813,6.240631,6.42328,1.9192519,2.91666,9.08334,7.00002,6.94998,2.0666401
豫EK3287_1,16,b'2021-08-24 13:36:10',0,27.322490215301514,28.083359599113464,2.7166939,8.641045,6.640759,6.8428426,2.049642,3.0666602,9.100019,6.9,6.91668,2.1
宁AUK603_0,11,b'2021-08-24 13:38:33',0,21.255698204040527,20.333399176597595,2.1589377,7.1257396,5.098959,5.2424293,1.6029518,1.9833599,6.78336,4.9833603,5.03334,1.5499799
冀J8U936_1,16,b'2021-08-24 13:41:47',1,25.652756094932556,32.01659917831421,2.5534897,8.330306,6.2562675,6.439471,1.9445877,3.41664,10.099979,7.8833404,8.14998,2.46666
宁BAN628_0,1,b'2021-08-24 13:44:52',1,18.372926115989685,16.48337960243225,1.8067923,6.234817,4.368778,4.498497,1.3609517,1.75002,5.85,3.98334,3.7666802,1.13334
宁AA662W_0,11,b'2021-08-24 13:48:17',0,22.741336226463318,24.74999964237213,2.2264369,7.6061716,5.5110636,5.675453,1.6433964,2.71668,8.14998,5.63334,6.31668,1.9333199
陕J089U6_0,1,b'2021-08-24 13:55:30',1,18.368747234344482,19.483319520950317,1.8663821,6.195717,4.4176574,4.557234,1.3624482,2.01666,6.4500003,4.75002,4.7666397,1.5
宁AY580N_0,1,b'2021-08-24 14:06:06',0,18.60122323036194,16.53335988521576,1.871221,6.294642,4.470393,4.6099253,1.3586546,1.60002,5.63334,3.96666,3.91668,1.41666
冀EK6183_1,16,b'2021-08-24 14:29:15',1,25.88501214981079,55.85003972053528,2.5646815,8.341219,6.34606,6.4973574,1.9035575,2.88336,9.28332,34.71666,7.00002,1.9666799
宁BH9626_0,1,b'2021-08-24 14:40:00',0,17.224305868148804,43.26672077178955,1.6660722,5.780758,4.122583,4.1890187,1.326959,1.73334,6.53334,29.93334,3.91668,1.15002
宁E65661_1,16,b'2021-08-24 14:40:55',1,25.811485648155212,26.549999713897705,2.571801,8.316184,6.358132,6.4595656,1.9406712,2.61666,8.350019,6.49998,6.61668,2.46666
渝FLR018_0,1,b'2021-08-24 14:55:26',1,18.643040657043457,20.80001950263977,1.8660758,6.3053594,4.4622517,4.5647426,1.3772314,2.05002,7.24998,5.14998,4.90002,1.45002
宁AEM808_0,1,b'2021-08-24 14:58:06',1,18.62986922264099,17.13335931301117,1.870733,6.2980976,4.4648714,4.5638957,1.3784691,1.51668,5.93334,4.11666,4.30002,1.26666
宁A1977D_0,1,b'2021-08-24 15:04:01',0,17.36586034297943,16.983359456062317,1.6775645,5.8191285,4.0596743,4.135605,1.3444254,1.63332,5.86668,4.08336,4.15002,1.24998
宁AG3871_1,16,b'2021-08-24 15:06:18',1,26.093755960464478,26.20001971721649,2.5879006,8.438798,6.3432508,6.456442,1.9475489,2.3999999,8.55,7.05,6.4500003,1.75002
宁A2J653_0,1,b'2021-08-24 15:38:54',1,18.378966450691223,18.849960565567017,1.7892537,6.2606997,4.3512573,4.454281,1.3859754,1.99998,6.71664,4.38336,4.39998,1.35
宁AE0389_1,14,b'2021-08-24 15:39:39',0,24.800739884376526,56.41661882400513,2.415449,8.218597,5.9599867,6.0935693,1.8345335,2.36664,8.05002,37.33332,6.6,2.0666401
甘M35813_1,14,b'2021-08-24 15:39:48',0,25.755178928375244,56.43335938453674,2.506943,8.41648,6.216298,6.364796,1.9196559,2.3500202,8.01666,37.383358,6.6,2.0833201
宁AS762X_0,11,b'2021-08-24 15:47:15',1,21.54677152633667,22.78331995010376,2.1267548,7.2884674,5.129328,5.2079387,1.6052362,2.25,7.6999803,5.2666802,5.81664,1.75002
宁BF9633_0,1,b'2021-08-24 15:57:01',0,17.8469717502594,16.350000500679016,1.7162793,6.030381,4.2159686,4.2796144,1.3749918,1.5833399,5.4499803,4.05,4.03332,1.2333599
宁B29966_0,1,b'2021-08-24 15:59:45',1,18.471211194992065,21.183300018310547,1.7489682,6.3025208,4.323617,4.397885,1.4094324,2.23332,7.16664,5.14998,5.18334,1.45002
