vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
甘D5J105_0,1,b'2021-08-30 18:14:08',1,27.03267932,29.4333601,1.9237603,5.5227675,2.0170631,6.146249,12.443588,1.81668,6.25002,2.23332,6.4500003,12.68334
陕K209D2_0,1,b'2021-08-30 18:14:10',1,26.2432158,28.26665998,1.8790834,5.446042,1.9746517,6.019432,12.100726,1.75002,6.1666803,2.0833201,6.2666397,12
宁DF5571_0,1,b'2021-08-30 18:14:30',1,26.79990649,27.50003994,1.9178193,5.510515,2.0097108,6.1265354,12.345027,1.76664,5.91666,2.13336,5.8000197,11.88336
宁C8B228_0,1,b'2021-08-30 18:16:35',0,27.24928021,27.48336017,1.9375486,5.6446924,2.0321474,6.309401,12.631254,1.8,5.4833403,2.1,5.95002,12.15
宁CJF072_0,11,b'2021-08-30 18:17:24',0,28.9333427,35.3166604,2.040738,5.9928856,2.1456425,6.815924,13.459088,2.20002,6.93336,2.51664,7.6999803,15.96666
宁CK9816_0,1,b'2021-08-30 18:20:09',0,27.32244551,29.88330066,1.9350569,5.4913363,2.0216458,6.1437974,12.645128,1.9666799,6.49998,2.25,6.43332,12.733319
宁A3052E_0,1,b'2021-08-30 18:20:44',1,26.59561694,30.78335881,1.9084587,5.4667478,1.9950145,6.0840173,12.265109,1.9000201,6.2999997,2.29998,6.18336,14.1
鲁GL9289_1,16,b'2021-08-30 18:20:46',0,33.73663545,36.9333601,2.2762089,6.794467,2.4456546,7.607866,16.062233,2.3500202,6.83334,2.7,7.99998,17.05002
宁AB6926_1,16,b'2021-08-30 18:23:01',0,37.45027184,39.94997978,2.5518951,7.517629,2.816965,8.42909,17.726397,3.1666799,8.2166395,3,8.449981,17.11668
宁CE1907_0,11,b'2021-08-30 18:23:02',1,31.67456388,27.50003994,2.1774378,6.338032,2.3190477,7.2980776,14.2821245,1.81668,5.28336,2.16666,6.04998,12.183359
宁CGW160_0,1,b'2021-08-30 18:23:27',0,26.68013513,27.76668012,1.9058686,5.5322685,1.9981303,6.1564336,12.3259115,1.84998,5.33334,1.9499999,6,12.63336
宁AV065B_0,1,b'2021-08-30 18:23:42',0,25.01324594,26.05008066,1.7973228,5.118795,1.9131937,5.589941,11.488301,1.8333601,5.13336,1.9333199,5.73336,11.416679
宁CP1669_0,1,b'2021-08-30 18:24:29',1,26.08002305,30.68334103,1.8758739,5.4203644,1.9665134,5.995049,12.046109,2.16666,6.2333403,2.26668,6.66666,13.349999
宁AD3195_0,16,b'2021-08-30 18:25:33',1,36.26507163,35.79995871,2.4633386,7.1944375,2.699752,8.117875,17.200352,2.31666,7.3166404,2.51664,7.96668,15.683339
